time,husky_odom_pose_x,husky_odom_pose_y,husky_odom_pose_theta,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,filtered_odom_pose_x,filtered_odom_pose_y,filtered_odom_pose_theta
1728293492.7739332,0.0005092159837370569,-4.5477980975888304e-10,-3.539789903645457e-07,0.00029390149663300377,0.00010383632245579664,7.872933793988647e-07,0.9999999514196534,0.00046693984866418134,1.7012370323241493e-08,2.6336263320667395e-05
1728293492.8740242,0.0005095073658959707,-4.5498607971434084e-10,-3.539228119843569e-07,0.00029396502085632685,0.00010337949945622208,7.874015290241196e-07,0.9999999514483116,0.00046723414552560667,1.702787424962734e-08,2.6344133078176988e-05
1728293492.9738395,0.0005097987639005045,-4.5519232814543413e-10,-3.538666302130295e-07,0.0002935184692274235,0.00010309804884859422,7.875091822173725e-07,0.9999999516085392,0.0004675226304127919,1.7043077105632626e-08,2.6353710303408756e-05
1728293493.0739558,0.0005100901777521973,-4.5539855504775606e-10,-3.538104452561587e-07,0.0002938206429713897,0.00010355182357895506,7.876146671256525e-07,0.9999999514729133,0.00046781404505722324,1.7058437963539255e-08,2.63582500288916e-05
1728293493.1739113,0.0005103816074524802,-4.5560476041692417e-10,-3.5375425714798437e-07,0.0002940708523859522,0.00010337653189590237,7.877220035311901e-07,0.9999999514175019,0.00046810547554918837,1.7073803953251125e-08,2.636922913318016e-05
1728293493.273943,0.0005106730530029651,-4.558109442486293e-10,-3.536980658200249e-07,0.00029433835828395453,0.00010327674970482522,7.878291239328494e-07,0.9999999513491107,0.00046839692189190677,1.7089176696606366e-08,2.637850397207383e-05
1728293493.3739543,0.0005109645144050446,-4.5601710653843194e-10,-3.536418712722303e-07,0.00029454050739476307,0.00010333189961872465,7.879357969213172e-07,0.9999999512838925,0.00046868838408625806,1.7104558026729678e-08,2.6397378844399026e-05
1728293493.473807,0.002395246077699954,3.5462761423639615e-06,0.001885444252205039,0.00029602403895157583,9.847394096589017e-05,0.001286277568587282,0.9999991240809505,0.0031470154327059487,1.1022413960273791e-06,0.0010335680130127917
1728293493.5737915,0.027993153393712902,0.0007043658684213132,0.023431418256289735,0.0002952601970229023,0.00010432994073982619,0.02319367546820397,0.9997309414812344,0.030295136783316412,0.00047867102460541185,0.021545055715187004
1728293493.6738899,0.07632821436166562,0.004210341650428225,0.048365070625911354,0.00029734432775397143,0.00011385925611667287,0.05240539348858355,0.9986258425234784,0.07875118127641054,0.003950393960749782,0.05125787185919259
1728293493.773738,0.12589350649140318,0.010274100039073582,0.07328372468239547,0.00034351643596276424,0.00010328313774453252,0.06610347813651726,0.9978127086318889,0.12831736911416686,0.009825872274871372,0.06561509318564938
1728293493.8738534,0.17507613331415572,0.01879942409552268,0.09814139281031183,0.00028304654895997417,0.00014998599856847622,0.08294522194200096,0.9965540565096526,0.17773019548757618,0.017021536943513493,0.08190906544340956
1728293493.9738986,0.22386154718189252,0.02979014557761242,0.12297473147044527,0.00027884523309072663,0.0001338453952857769,0.10427052362910676,0.9945489240016594,0.22688554935266364,0.026234755973110518,0.10334894368165697
1728293494.0739312,0.27203070799385454,0.043202345694992456,0.14773743250790994,0.0002781305473968018,0.0001383124100861023,0.12494307892707851,0.9921638627471259,0.27562478735842366,0.03741876629662419,0.12381066384123464
1728293494.174026,0.31944429950742476,0.05899614725003194,0.17239731995173857,0.0002771576871293339,0.00014402390547224434,0.14570263255462945,0.9893283809268699,0.3237904588579376,0.05075061758207231,0.14503632591718957
1728293494.2739124,0.36599723690764513,0.07713248330193835,0.1969368891885919,0.0002784336332638281,0.00014554890352853471,0.1483474032589913,0.9889352603869189,0.37157370204283297,0.06536013029982987,0.14841177744820033
1728293494.3737855,0.41159522329846937,0.09757420549905475,0.22136123566142246,0.00027982964412423083,0.00014513309352829533,0.1483458480498221,0.9889354933453116,0.419346192476033,0.08004657812719336,0.14843756258720744
1728293494.4739003,0.4561228833364546,0.12027152285927248,0.24565514103435024,0.0002875315693398939,0.0001456524713808023,0.1483447488821329,0.9889356559402898,0.4671260514983173,0.09473610591414451,0.14846399140492283
1728293494.573933,0.49946913071397947,0.14516966007959148,0.26980498466516084,0.00027513863465627645,0.00014595626862504802,0.14841635421386737,0.9889249156520243,0.5149155104620492,0.10943062696162208,0.14854757075939526
1728293494.6740851,0.5415168982169558,0.17220260111882923,0.29378488513717604,0.000278317275263753,0.00014712011950156068,0.1485246475663972,0.9889086560246313,0.5626988669043015,0.12413984283491745,0.1486986362097949
1728293494.774008,0.5821051307881645,0.20124534235400396,0.3169684078333261,-0.0009688614780741264,0.0002603135526222152,0.15131304754856725,0.988485384406798,0.6103502047843231,0.13885988242209002,0.1511554591574141
1728293494.87376,0.6213237441316498,0.2321361496331097,0.3379423389740567,-0.0012281209899264263,0.0008796511016977917,0.16922960172626217,0.985575496769448,0.6580728393661196,0.15449483309086787,0.16812249971230597
1728293494.9738908,0.6596412538714052,0.2653052418344391,0.360493481711329,2.0108831362407706e-05,0.00026525375261371567,0.1983250129295512,0.9801362754650882,0.7054060322823044,0.1725133130691588,0.19686009277692984
1728293495.0737956,0.6959602514250741,0.299937471316951,0.3830854833515074,0.0004140819629742396,5.450414677909035e-05,0.23172748962993137,0.9727806515937887,0.7515108803495387,0.19359934190591974,0.23065191446198605
1728293495.1737084,0.730374164551493,0.3361598020849164,0.4057208761186327,0.0007047676274935346,-7.352682374068685e-05,0.26164242802090204,0.9651646169207224,0.7951181985462408,0.2168668930323913,0.25990264232012
